,Unnamed: 0,Incident Number,Incident Date,Reason for Report,Impact of Incident,Country,State,County,City,Product Registration Number(s),Product Names,PC Codes,Active Ingredient(s),Overall Submission Description (may describe multiple incidents),clean
2,2,026800-00005,05/14/2014,Adverse Reaction,ON - Other Nontarget,CN,,Ontario,Grey,,,044309,Clothianidin,"8 Canadian bee kill incidents, Ontario, 2012, downloaded from PMRA's web site. ","8 canadian bee kill incidents, ontario, 2012, downloaded pmra's web site."
3,3,026800-00005,05/14/2014,Adverse Reaction,ON - Other Nontarget,CN,,Ontario,Grey,,,109302,Fluvalinate,"8 Canadian bee kill incidents, Ontario, 2012, downloaded from PMRA's web site. ","8 canadian bee kill incidents, ontario, 2012, downloaded pmra's web site."
4,4,026800-00005,05/14/2014,Adverse Reaction,ON - Other Nontarget,CN,,Ontario,Grey,,,099050,Acetamiprid,"8 Canadian bee kill incidents, Ontario, 2012, downloaded from PMRA's web site. ","8 canadian bee kill incidents, ontario, 2012, downloaded pmra's web site."
34,34,027306-00002,11/03/2014,Adverse Reaction,HC - Human - Moderate,US,FL,,,000279-09534-000239,Home Defense Max Insect Killer For Indoor & Premiter Spray Rtu Trigger,"129064, 128825","Zeta-Cypermethrin, Bifenthrin","Scotts Co.: 11 H-C, 19 P-A, Nov. 2014 for humans and major plant damage","scotts co.: 11 h-c, 19 p-a, nov. 2014 humans major plant damage"
35,35,027306-00003,11/03/2014,Adverse Reaction,HC - Human - Moderate,US,UT,,,000239-02594,Orthenex Garden Insect & Disease Control Concentrate,"104601, 107901, 103301","Fenbutatin-oxide, Triforine, Acephate","Scotts Co.: 11 H-C, 19 P-A, Nov. 2014 for humans and major plant damage","scotts co.: 11 h-c, 19 p-a, nov. 2014 humans major plant damage"
36,36,027306-00006,11/03/2014,Adverse Reaction,HC - Human - Moderate,US,ME,,,000279-09534-000239,Home Defense Max Insect Killer For Indoor & Perimeter Spray Rtu Trigger,"128825, 129064","Bifenthrin, Zeta-Cypermethrin","Scotts Co.: 11 H-C, 19 P-A, Nov. 2014 for humans and major plant damage","scotts co.: 11 h-c, 19 p-a, nov. 2014 humans major plant damage"
37,37,027306-00007,11/14/2014,Adverse Reaction,HC - Human - Moderate,US,GA,,,000239-02632,Orthene Fire Ant Killer 1 (Powder),103301,Acephate,"Scotts Co.: 11 H-C, 19 P-A, Nov. 2014 for humans and major plant damage","scotts co.: 11 h-c, 19 p-a, nov. 2014 humans major plant damage"
38,38,027306-00008,11/07/2014,Adverse Reaction,HC - Human - Moderate,US,TX,,,000279-09534-000239,Home Defense Max Insect Killer For Indoor & Perimeter (Non-Specific),"129064, 128825","Zeta-Cypermethrin, Bifenthrin","Scotts Co.: 11 H-C, 19 P-A, Nov. 2014 for humans and major plant damage","scotts co.: 11 h-c, 19 p-a, nov. 2014 humans major plant damage"
39,39,027306-00009,11/22/2014,Adverse Reaction,HC - Human - Moderate,US,NY,,,000239-02663,Home Defense Max Perimeter & Indoor Insect Killer 1.33 Gal Pull-N-Spray,128825,Bifenthrin,"Scotts Co.: 11 H-C, 19 P-A, Nov. 2014 for humans and major plant damage","scotts co.: 11 h-c, 19 p-a, nov. 2014 humans major plant damage"
40,40,027306-00011,11/26/2014,Adverse Reaction,HC - Human - Moderate,US,OK,,,000279-09534-000239,Home Defense Max Insect Killer For Indoor & Perimeter Spray Rtu Trigger,"129064, 128825","Zeta-Cypermethrin, Bifenthrin","Scotts Co.: 11 H-C, 19 P-A, Nov. 2014 for humans and major plant damage","scotts co.: 11 h-c, 19 p-a, nov. 2014 humans major plant damage"
